,accession,tax_id,organism_name,download_url
263,GCF_000020125.1,398527,Paraburkholderia phytofirmans PsJN,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000020125.1/download?include_annotation_type=GENOME_FASTA&filename=Paraburkholderia_phytofirmans_PsJN.zip
264,GCF_000304355.2,1201294,Methanoculleus bourgensis MS2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000304355.2/download?include_annotation_type=GENOME_FASTA&filename=Methanoculleus_bourgensis_MS2.zip
265,GCF_030408375.1,144184,Corynebacterium afermentans subsp. lipophilum,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_030408375.1/download?include_annotation_type=GENOME_FASTA&filename=Corynebacterium_afermentans_subsp._lipophilum.zip
266,GCF_004803815.1,204,Campylobacter showae,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_004803815.1/download?include_annotation_type=GENOME_FASTA&filename=Campylobacter_showae.zip
267,GCF_001025155.1,518635,Bifidobacterium angulatum DSM 20098 = JCM 7096,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001025155.1/download?include_annotation_type=GENOME_FASTA&filename=Bifidobacterium_angulatum_DSM_20098_=_JCM_7096.zip
268,GCF_001655245.1,1354275,Mycolicibacterium vaccae 95051,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001655245.1/download?include_annotation_type=GENOME_FASTA&filename=Mycolicibacterium_vaccae_95051.zip
269,GCF_000212695.1,590998,Cellulomonas fimi ATCC 484,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000212695.1/download?include_annotation_type=GENOME_FASTA&filename=Cellulomonas_fimi_ATCC_484.zip
270,GCF_000284615.1,1163748,Marinobacter nauticus ATCC 49840,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000284615.1/download?include_annotation_type=GENOME_FASTA&filename=Marinobacter_nauticus_ATCC_49840.zip
271,GCF_000020385.1,398767,Trichlorobacter lovleyi SZ,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000020385.1/download?include_annotation_type=GENOME_FASTA&filename=Trichlorobacter_lovleyi_SZ.zip
272,GCF_000264945.2,861109,Sphingobium indicum B90A,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000264945.2/download?include_annotation_type=GENOME_FASTA&filename=Sphingobium_indicum_B90A.zip
273,GCF_002097715.1,265293,Burkholderia ubonensis subsp. mesacidophila,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002097715.1/download?include_annotation_type=GENOME_FASTA&filename=Burkholderia_ubonensis_subsp._mesacidophila.zip
274,GCF_000164695.2,762948,Rothia dentocariosa ATCC 17931,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000164695.2/download?include_annotation_type=GENOME_FASTA&filename=Rothia_dentocariosa_ATCC_17931.zip
275,GCF_013372165.1,91353,Campylobacter hyointestinalis subsp. lawsonii,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013372165.1/download?include_annotation_type=GENOME_FASTA&filename=Campylobacter_hyointestinalis_subsp._lawsonii.zip
276,GCF_947243775.1,226230,Saccharomyces kudriavzevii IFO 1802,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=GENOME_FASTA&filename=Saccharomyces_kudriavzevii_IFO_1802.zip
277,GCF_008704795.1,68270,Streptomyces spectabilis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_008704795.1/download?include_annotation_type=GENOME_FASTA&filename=Streptomyces_spectabilis.zip
278,GCF_014673495.1,146922,Streptomyces griseofuscus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_014673495.1/download?include_annotation_type=GENOME_FASTA&filename=Streptomyces_griseofuscus.zip
279,GCF_012767755.2,2725477,Pseudomonas tohonis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_012767755.2/download?include_annotation_type=GENOME_FASTA&filename=Pseudomonas_tohonis.zip
280,GCF_002762215.1,946333,Rhizobacter gummiphilus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002762215.1/download?include_annotation_type=GENOME_FASTA&filename=Rhizobacter_gummiphilus.zip
281,GCF_019645875.1,1796,Mycolicibacterium senegalense,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_019645875.1/download?include_annotation_type=GENOME_FASTA&filename=Mycolicibacterium_senegalense.zip
282,GCF_900187205.1,93222,Pandoraea sputorum,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900187205.1/download?include_annotation_type=GENOME_FASTA&filename=Pandoraea_sputorum.zip
283,GCF_001584145.1,158899,Collimonas fungivorans,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001584145.1/download?include_annotation_type=GENOME_FASTA&filename=Collimonas_fungivorans.zip
284,GCF_010731695.1,758802,Mycolicibacterium litorale,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_010731695.1/download?include_annotation_type=GENOME_FASTA&filename=Mycolicibacterium_litorale.zip
285,GCF_000973105.1,63186,Zobellia galactanivorans,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000973105.1/download?include_annotation_type=GENOME_FASTA&filename=Zobellia_galactanivorans.zip
286,GCF_001465595.2,93218,Pandoraea apista,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001465595.2/download?include_annotation_type=GENOME_FASTA&filename=Pandoraea_apista.zip
287,GCF_001658025.2,497725,Kosakonia oryzae,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001658025.2/download?include_annotation_type=GENOME_FASTA&filename=Kosakonia_oryzae.zip
288,GCF_002356315.1,722731,Mycobacterium shigaense,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002356315.1/download?include_annotation_type=GENOME_FASTA&filename=Mycobacterium_shigaense.zip
289,GCF_021462285.1,42906,Serratia entomophila,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021462285.1/download?include_annotation_type=GENOME_FASTA&filename=Serratia_entomophila.zip
290,GCF_012427845.1,2108399,Pectobacterium punjabense,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_012427845.1/download?include_annotation_type=GENOME_FASTA&filename=Pectobacterium_punjabense.zip
291,GCF_018075365.1,1473,Virgibacillus pantothenticus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_018075365.1/download?include_annotation_type=GENOME_FASTA&filename=Virgibacillus_pantothenticus.zip
292,GCF_021919345.1,29320,Paenarthrobacter nicotinovorans,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021919345.1/download?include_annotation_type=GENOME_FASTA&filename=Paenarthrobacter_nicotinovorans.zip
293,GCF_019977755.1,104609,Vibrio penaeicida,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_019977755.1/download?include_annotation_type=GENOME_FASTA&filename=Vibrio_penaeicida.zip
294,GCF_001975665.1,996801,Polaribacter reichenbachii,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001975665.1/download?include_annotation_type=GENOME_FASTA&filename=Polaribacter_reichenbachii.zip
295,GCF_001007935.1,44574,Nitrosomonas communis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001007935.1/download?include_annotation_type=GENOME_FASTA&filename=Nitrosomonas_communis.zip
296,GCF_016028635.1,2968968,Stutzerimonas degradans,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016028635.1/download?include_annotation_type=GENOME_FASTA&filename=Stutzerimonas_degradans.zip
297,GCF_000012945.1,482957,Burkholderia lata,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000012945.1/download?include_annotation_type=GENOME_FASTA&filename=Burkholderia_lata.zip
298,GCF_003367705.1,104336,Microbacterium foliorum,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003367705.1/download?include_annotation_type=GENOME_FASTA&filename=Microbacterium_foliorum.zip
299,GCF_900005615.1,34004,Paracoccus aminovorans,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900005615.1/download?include_annotation_type=GENOME_FASTA&filename=Paracoccus_aminovorans.zip
300,GCF_003628755.1,626937,Christensenella minuta,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003628755.1/download?include_annotation_type=GENOME_FASTA&filename=Christensenella_minuta.zip
301,GCF_020162115.1,307486,Tepidimonas taiwanensis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_020162115.1/download?include_annotation_type=GENOME_FASTA&filename=Tepidimonas_taiwanensis.zip
302,GCF_003860565.1,237258,Cloacibacterium normanense,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003860565.1/download?include_annotation_type=GENOME_FASTA&filename=Cloacibacterium_normanense.zip
303,GCF_029909795.1,34007,Paracoccus versutus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_029909795.1/download?include_annotation_type=GENOME_FASTA&filename=Paracoccus_versutus.zip
304,GCF_003012915.1,46127,Staphylococcus felis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003012915.1/download?include_annotation_type=GENOME_FASTA&filename=Staphylococcus_felis.zip
305,GCF_016028295.1,29379,Staphylococcus auricularis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016028295.1/download?include_annotation_type=GENOME_FASTA&filename=Staphylococcus_auricularis.zip
306,GCF_002080395.1,28898,Campylobacter helveticus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002080395.1/download?include_annotation_type=GENOME_FASTA&filename=Campylobacter_helveticus.zip
307,GCF_003194085.1,1987356,Aurantimicrobium photophilum,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003194085.1/download?include_annotation_type=GENOME_FASTA&filename=Aurantimicrobium_photophilum.zip
308,GCF_001761545.1,155866,Weissella soli,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001761545.1/download?include_annotation_type=GENOME_FASTA&filename=Weissella_soli.zip
309,GCF_004117095.1,79263,Paenibacillus chitinolyticus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_004117095.1/download?include_annotation_type=GENOME_FASTA&filename=Paenibacillus_chitinolyticus.zip
310,GCF_000014885.1,225849,Shewanella piezotolerans WP3,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000014885.1/download?include_annotation_type=GENOME_FASTA&filename=Shewanella_piezotolerans_WP3.zip
311,GCF_000017845.1,43989,Crocosphaera subtropica ATCC 51142,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000017845.1/download?include_annotation_type=GENOME_FASTA&filename=Crocosphaera_subtropica_ATCC_51142.zip
312,GCF_019669905.1,702114,Methylomonas koyamae,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_019669905.1/download?include_annotation_type=GENOME_FASTA&filename=Methylomonas_koyamae.zip
313,GCF_000016065.1,323850,Shewanella loihica PV-4,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000016065.1/download?include_annotation_type=GENOME_FASTA&filename=Shewanella_loihica_PV-4.zip
314,GCF_003860345.1,1219035,Caenibius tardaugens NBRC 16725,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003860345.1/download?include_annotation_type=GENOME_FASTA&filename=Caenibius_tardaugens_NBRC_16725.zip
315,GCF_022674245.1,1450,Alicyclobacillus acidoterrestris,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_022674245.1/download?include_annotation_type=GENOME_FASTA&filename=Alicyclobacillus_acidoterrestris.zip
316,GCF_029094545.1,79885,Alkalihalophilus pseudofirmus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_029094545.1/download?include_annotation_type=GENOME_FASTA&filename=Alkalihalophilus_pseudofirmus.zip
317,GCF_024347635.1,212663,Vibrio tasmaniensis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_024347635.1/download?include_annotation_type=GENOME_FASTA&filename=Vibrio_tasmaniensis.zip
318,GCF_030408675.1,61592,Corynebacterium durum,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_030408675.1/download?include_annotation_type=GENOME_FASTA&filename=Corynebacterium_durum.zip
319,GCF_900478045.1,38301,Corynebacterium minutissimum,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900478045.1/download?include_annotation_type=GENOME_FASTA&filename=Corynebacterium_minutissimum.zip
320,GCF_005221305.1,28449,Neisseria subflava,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_005221305.1/download?include_annotation_type=GENOME_FASTA&filename=Neisseria_subflava.zip
321,GCF_019931005.1,46124,Granulicatella adiacens,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_019931005.1/download?include_annotation_type=GENOME_FASTA&filename=Granulicatella_adiacens.zip
322,GCF_016127475.1,33037,Anaerococcus vaginalis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016127475.1/download?include_annotation_type=GENOME_FASTA&filename=Anaerococcus_vaginalis.zip
323,GCF_900475675.1,150055,Streptococcus lutetiensis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900475675.1/download?include_annotation_type=GENOME_FASTA&filename=Streptococcus_lutetiensis.zip
324,GCF_027554905.1,145262,Methanothermobacter thermautotrophicus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_027554905.1/download?include_annotation_type=GENOME_FASTA&filename=Methanothermobacter_thermautotrophicus.zip
325,GCF_018394055.1,759620,Weissella ceti,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_018394055.1/download?include_annotation_type=GENOME_FASTA&filename=Weissella_ceti.zip
326,GCF_000473995.1,1345695,Clostridium saccharobutylicum DSM 13864,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000473995.1/download?include_annotation_type=GENOME_FASTA&filename=Clostridium_saccharobutylicum_DSM_13864.zip
327,GCF_000143685.1,748727,Clostridium ljungdahlii DSM 13528,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000143685.1/download?include_annotation_type=GENOME_FASTA&filename=Clostridium_ljungdahlii_DSM_13528.zip
328,GCF_000022025.1,452863,Pseudarthrobacter chlorophenolicus A6,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000022025.1/download?include_annotation_type=GENOME_FASTA&filename=Pseudarthrobacter_chlorophenolicus_A6.zip
329,GCF_001955735.1,81479,Rhodoferax antarcticus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001955735.1/download?include_annotation_type=GENOME_FASTA&filename=Rhodoferax_antarcticus.zip
330,GCF_016127955.1,544580,Actinomyces oris,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016127955.1/download?include_annotation_type=GENOME_FASTA&filename=Actinomyces_oris.zip
331,GCF_000019905.1,262543,Exiguobacterium sibiricum 255-15,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000019905.1/download?include_annotation_type=GENOME_FASTA&filename=Exiguobacterium_sibiricum_255-15.zip
332,GCF_016724805.1,40545,Sutterella wadsworthensis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016724805.1/download?include_annotation_type=GENOME_FASTA&filename=Sutterella_wadsworthensis.zip
333,GCF_001457555.1,76857,Fusobacterium polymorphum,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001457555.1/download?include_annotation_type=GENOME_FASTA&filename=Fusobacterium_polymorphum.zip
334,GCF_000724605.1,59505,Actinotignum schaalii,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000724605.1/download?include_annotation_type=GENOME_FASTA&filename=Actinotignum_schaalii.zip
335,GCF_900637515.1,39778,Veillonella dispar,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900637515.1/download?include_annotation_type=GENOME_FASTA&filename=Veillonella_dispar.zip
336,GCF_013372125.1,200,Campylobacter curvus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013372125.1/download?include_annotation_type=GENOME_FASTA&filename=Campylobacter_curvus.zip
337,GCF_000091665.1,243232,Methanocaldococcus jannaschii DSM 2661,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000091665.1/download?include_annotation_type=GENOME_FASTA&filename=Methanocaldococcus_jannaschii_DSM_2661.zip
338,GCF_000018465.1,436308,Nitrosopumilus maritimus SCM1,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000018465.1/download?include_annotation_type=GENOME_FASTA&filename=Nitrosopumilus_maritimus_SCM1.zip
339,GCF_000195915.1,273075,Thermoplasma acidophilum DSM 1728,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000195915.1/download?include_annotation_type=GENOME_FASTA&filename=Thermoplasma_acidophilum_DSM_1728.zip
340,GCF_000012085.2,314724,Borrelia turicatae 91E135,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000012085.2/download?include_annotation_type=GENOME_FASTA&filename=Borrelia_turicatae_91E135.zip
341,GCF_000018105.1,329726,Acaryochloris marina MBIC11017,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000018105.1/download?include_annotation_type=GENOME_FASTA&filename=Acaryochloris_marina_MBIC11017.zip
342,GCF_002009335.2,897,Desulfococcus multivorans,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002009335.2/download?include_annotation_type=GENOME_FASTA&filename=Desulfococcus_multivorans.zip
343,GCF_000317675.1,755178,Cyanobacterium aponinum PCC 10605,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000317675.1/download?include_annotation_type=GENOME_FASTA&filename=Cyanobacterium_aponinum_PCC_10605.zip
344,GCF_000021325.1,272568,Gluconacetobacter diazotrophicus PA1 5,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000021325.1/download?include_annotation_type=GENOME_FASTA&filename=Gluconacetobacter_diazotrophicus_PA1_5.zip
345,GCF_000013025.1,228405,Hyphomonas neptunium ATCC 15444,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000013025.1/download?include_annotation_type=GENOME_FASTA&filename=Hyphomonas_neptunium_ATCC_15444.zip
346,GCF_000182745.2,634177,Komagataeibacter medellinensis NBRC 3288,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182745.2/download?include_annotation_type=GENOME_FASTA&filename=Komagataeibacter_medellinensis_NBRC_3288.zip
347,GCF_000009365.1,393595,Alcanivorax borkumensis SK2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000009365.1/download?include_annotation_type=GENOME_FASTA&filename=Alcanivorax_borkumensis_SK2.zip
348,GCF_000172995.2,469382,Halogeometricum borinquense DSM 11551,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000172995.2/download?include_annotation_type=GENOME_FASTA&filename=Halogeometricum_borinquense_DSM_11551.zip
349,GCF_000022905.1,548476,Corynebacterium aurimucosum ATCC 700975,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000022905.1/download?include_annotation_type=GENOME_FASTA&filename=Corynebacterium_aurimucosum_ATCC_700975.zip
350,GCF_000600005.1,1196094,Snodgrassella alvi wkB2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000600005.1/download?include_annotation_type=GENOME_FASTA&filename=Snodgrassella_alvi_wkB2.zip
351,GCF_000007225.1,178306,Pyrobaculum aerophilum str. IM2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000007225.1/download?include_annotation_type=GENOME_FASTA&filename=Pyrobaculum_aerophilum_str._IM2.zip
352,GCF_000092785.1,716544,Waddlia chondrophila WSU 86-1044,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000092785.1/download?include_annotation_type=GENOME_FASTA&filename=Waddlia_chondrophila_WSU_86-1044.zip
353,GCF_000196855.1,762550,Leuconostoc gasicomitatum LMG 18811,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000196855.1/download?include_annotation_type=GENOME_FASTA&filename=Leuconostoc_gasicomitatum_LMG_18811.zip
354,GCF_001042675.1,864564,Parascardovia denticolens DSM 10105 = JCM 12538,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001042675.1/download?include_annotation_type=GENOME_FASTA&filename=Parascardovia_denticolens_DSM_10105_=_JCM_12538.zip
355,GCF_000241055.1,1045004,Oenococcus kitaharae DSM 17330,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000241055.1/download?include_annotation_type=GENOME_FASTA&filename=Oenococcus_kitaharae_DSM_17330.zip
356,GCF_947241705.1,226126,Saccharomyces mikatae IFO 1815,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947241705.1/download?include_annotation_type=GENOME_FASTA&filename=Saccharomyces_mikatae_IFO_1815.zip
357,GCF_000024005.1,485918,Chitinophaga pinensis DSM 2588,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000024005.1/download?include_annotation_type=GENOME_FASTA&filename=Chitinophaga_pinensis_DSM_2588.zip
358,GCF_003711105.1,457423,Actinoplanes teichomyceticus ATCC 31121,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003711105.1/download?include_annotation_type=GENOME_FASTA&filename=Actinoplanes_teichomyceticus_ATCC_31121.zip
359,GCF_000300005.1,930169,Alloalcanivorax dieselolei B5,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000300005.1/download?include_annotation_type=GENOME_FASTA&filename=Alloalcanivorax_dieselolei_B5.zip
360,GCF_001887595.1,1440763,Luteibacter rhizovicinus DSM 16549,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001887595.1/download?include_annotation_type=GENOME_FASTA&filename=Luteibacter_rhizovicinus_DSM_16549.zip
361,GCF_001277235.1,1159554,Cronobacter dublinensis subsp. dublinensis LMG 23823,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001277235.1/download?include_annotation_type=GENOME_FASTA&filename=Cronobacter_dublinensis_subsp._dublinensis_LMG_23823.zip
362,GCF_000023865.1,471857,Saccharomonospora viridis DSM 43017,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000023865.1/download?include_annotation_type=GENOME_FASTA&filename=Saccharomonospora_viridis_DSM_43017.zip
363,GCF_000264765.2,667120,Edwardsiella anguillarum ET080813,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000264765.2/download?include_annotation_type=GENOME_FASTA&filename=Edwardsiella_anguillarum_ET080813.zip
364,GCF_000184685.1,710696,Intrasporangium calvum DSM 43043,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184685.1/download?include_annotation_type=GENOME_FASTA&filename=Intrasporangium_calvum_DSM_43043.zip
365,GCF_000355675.1,1298593,Thalassolituus oleivorans MIL-1,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000355675.1/download?include_annotation_type=GENOME_FASTA&filename=Thalassolituus_oleivorans_MIL-1.zip
366,GCF_000190595.1,867900,Cellulophaga lytica DSM 7489,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000190595.1/download?include_annotation_type=GENOME_FASTA&filename=Cellulophaga_lytica_DSM_7489.zip
367,GCF_000202835.1,926570,Acidiphilium multivorum AIU301,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000202835.1/download?include_annotation_type=GENOME_FASTA&filename=Acidiphilium_multivorum_AIU301.zip
368,GCF_025147765.1,411459,Blautia obeum ATCC 29174,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_025147765.1/download?include_annotation_type=GENOME_FASTA&filename=Blautia_obeum_ATCC_29174.zip
369,GCF_000017685.1,456481,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)',https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000017685.1/download?include_annotation_type=GENOME_FASTA&filename=Leptospira_biflexa_serovar_Patoc_strain_'Patoc_1_(Paris)'.zip
370,GCF_000012725.1,323098,Nitrobacter winogradskyi Nb-255,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000012725.1/download?include_annotation_type=GENOME_FASTA&filename=Nitrobacter_winogradskyi_Nb-255.zip
371,GCF_000024845.1,518766,Rhodothermus marinus DSM 4252,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000024845.1/download?include_annotation_type=GENOME_FASTA&filename=Rhodothermus_marinus_DSM_4252.zip
372,GCF_900637655.1,28135,Prevotella oris,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900637655.1/download?include_annotation_type=GENOME_FASTA&filename=Prevotella_oris.zip
373,GCF_000023965.1,485914,Halomicrobium mukohataei DSM 12286,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000023965.1/download?include_annotation_type=GENOME_FASTA&filename=Halomicrobium_mukohataei_DSM_12286.zip
374,GCF_000024285.1,521098,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000024285.1/download?include_annotation_type=GENOME_FASTA&filename=Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_DSM_446.zip
375,GCF_000008465.1,283942,Idiomarina loihiensis L2TR,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000008465.1/download?include_annotation_type=GENOME_FASTA&filename=Idiomarina_loihiensis_L2TR.zip
376,GCF_000022205.1,416348,Halorubrum lacusprofundi ATCC 49239,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000022205.1/download?include_annotation_type=GENOME_FASTA&filename=Halorubrum_lacusprofundi_ATCC_49239.zip
377,GCF_000023285.1,521097,Capnocytophaga ochracea DSM 7271,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000023285.1/download?include_annotation_type=GENOME_FASTA&filename=Capnocytophaga_ochracea_DSM_7271.zip
378,GCF_000739435.1,743972,Actinobacillus suis ATCC 33415,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000739435.1/download?include_annotation_type=GENOME_FASTA&filename=Actinobacillus_suis_ATCC_33415.zip
379,GCF_000235405.2,771875,Fervidobacterium pennivorans DSM 9078,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000235405.2/download?include_annotation_type=GENOME_FASTA&filename=Fervidobacterium_pennivorans_DSM_9078.zip
